Date,Oil Price $/bbl,Natural Gas Price $
01/05/1987,$18.58,  
01/06/1987,$19.08,  
01/07/1987,$20.03,  
01/08/1987,$18.63,  
01/09/1987,$18.48,  
01/10/1987,$18.80,  
01/11/1987,$17.70,  
01/12/1987,$17.60,  
01/01/1988,$16.28,  
01/02/1988,$14.73,  
01/03/1988,$15.65,  
01/04/1988,$16.60,  
01/05/1988,$16.20,  
01/06/1988,$14.18,  
01/07/1988,$15.75,  
01/08/1988,$14.40,  
01/09/1988,$11.93,  
01/10/1988,$12.60,  
01/11/1988,$14.35,  
01/12/1988,$16.23,  
01/01/1989,$16.38,  
01/02/1989,$17.23,  
01/03/1989,$20.45,  
01/04/1989,$20.15,  
01/05/1989,$18.25,  
01/06/1989,$18.28,  
01/07/1989,$16.30,  
01/08/1989,$17.20,  
01/09/1989,$18.23,  
01/10/1989,$18.93,  
01/11/1989,$18.48,  
01/12/1989,$21.05,  
01/01/1990,$20.50,  
01/02/1990,$19.20,  
01/03/1990,$17.95,  
01/04/1990,$16.35,  
01/05/1990,$15.30,  
01/06/1990,$15.73,  
01/07/1990,$19.23,  
01/08/1990,$27.80,  
01/09/1990,$41.00,  
01/10/1990,$34.30,  
01/11/1990,$31.20,  
01/12/1990,$28.35,  
01/01/1991,$20.70,  
01/02/1991,$19.50,  
01/03/1991,$18.00,  
01/04/1991,$19.70,  
01/05/1991,$19.00,  
01/06/1991,$18.48,  
01/07/1991,$19.65,  
01/08/1991,$20.53,  
01/09/1991,$21.43,  
01/10/1991,$22.00,  
01/11/1991,$20.08,  
01/12/1991,$17.75,  
01/01/1992,$18.15,  
01/02/1992,$17.45,  
01/03/1992,$19.09,  
01/04/1992,$19.65,  
01/05/1992,$20.70,  
01/06/1992,$20.60,  
01/07/1992,$20.38,  
01/08/1992,$19.65,  
01/09/1992,$20.18,  
01/10/1992,$19.13,  
01/11/1992,$19.25,  
01/12/1992,$17.85,  
01/01/1993,$18.48,  
01/02/1993,$18.83,  
01/03/1993,$18.70,  
01/04/1993,$18.85,  
01/05/1993,$18.43,  
01/06/1993,$17.43,  
01/07/1993,$16.85,  
01/08/1993,$16.73,  
01/09/1993,$17.23,  
01/10/1993,$15.43,  
01/11/1993,$14.23,  
01/12/1993,$13.18,  
01/01/1994,$14.83,  
01/02/1994,$13.59,  
01/03/1994,$13.25,  
01/04/1994,$15.35,  
01/05/1994,$16.18,  
01/06/1994,$17.45,  
01/07/1994,$18.48,  
01/08/1994,$16.03,  
01/09/1994,$16.73,  
01/10/1994,$17.18,  
01/11/1994,$16.95,  
01/12/1994,$16.23,  
01/01/1995,$16.80,  
01/02/1995,$17.23,  
01/03/1995,$17.98,  
01/04/1995,$18.98,  
01/05/1995,$17.58,  
01/06/1995,$16.58,  
01/07/1995,$15.78,  
01/08/1995,$16.20,  
01/09/1995,$16.58,  
01/10/1995,$16.58,  
01/11/1995,$17.13,  
01/12/1995,$18.65,  
01/01/1996,$16.63,  
01/02/1996,$18.80,  
01/03/1996,$20.33,  
01/04/1996,$19.50,  
01/05/1996,$18.10,  
01/06/1996,$19.28,  
01/07/1996,$19.00,  
01/08/1996,$20.98,  
01/09/1996,$24.15,  
01/10/1996,$22.80,  
01/11/1996,$23.17,  
01/12/1996,$23.90,  
01/01/1997,$23.28,  
01/02/1997,$19.44,  
01/03/1997,$18.53,  
01/04/1997,$18.25,  
01/05/1997,$18.99,  
01/06/1997,$18.22,  
01/07/1997,$18.94,  
01/08/1997,$17.98,  
01/09/1997,$19.96,  
01/10/1997,$19.42,  
01/11/1997,$18.96,  
01/12/1997,$15.86,  
01/01/1998,$15.59,  
01/02/1998,$13.53,  
01/03/1998,$13.87,  
01/04/1998,$13.79,  
01/05/1998,$14.03,  
01/06/1998,$11.84,  
01/07/1998,$12.63,  
01/08/1998,$12.06,  
01/09/1998,$14.71,  
01/10/1998,$12.00,  
01/11/1998,$9.91,  
01/12/1998,$10.54,  
01/01/1999,$11.34,  
01/02/1999,$10.58,  
01/03/1999,$15.02,  
01/04/1999,$16.45,  
01/05/1999,$14.75,  
01/06/1999,$16.97,  
01/07/1999,$19.97,  
01/08/1999,$21.08,  
01/09/1999,$22.98,  
01/10/1999,$21.11,  
01/11/1999,$25.20,  
01/12/1999,$24.93,  
01/01/2000,$27.08,  
01/02/2000,$29.01,  
01/03/2000,$23.98,  
01/04/2000,$23.79,  
01/05/2000,$29.64,  
01/06/2000,$31.58,  
01/07/2000,$25.30,  
01/08/2000,$35.08, 4.78 
01/09/2000,$28.42, 5.20 
01/10/2000,$30.15,  
01/11/2000,$32.53, 6.58 
01/12/2000,$22.58, 9.78 
01/01/2001,$26.59, 5.65 
01/02/2001,$25.16, 5.25 
01/03/2001,$23.50, 5.03 
01/04/2001,$27.21,  
01/05/2001,$28.55, 3.91 
01/06/2001,$26.21, 3.10 
01/07/2001,$24.35,  
01/08/2001,$26.80, 2.38 
01/09/2001,$21.87, 2.24 
01/10/2001,$19.63, 3.29 
01/11/2001,$18.92, 2.70 
01/12/2001,$19.35, 2.57 
01/01/2002,$19.07, 2.15 
01/02/2002,$20.73, 2.36 
01/03/2002,$25.34, 3.25 
01/04/2002,$26.98, 3.77 
01/05/2002,$23.87, 3.22 
01/06/2002,$25.33, 3.25 
01/07/2002,$26.28, 2.95 
01/08/2002,$27.56, 3.30 
01/09/2002,$29.11,  
01/10/2002,$25.51, 4.16 
01/11/2002,$25.74, 4.20 
01/12/2002,$30.12,  
01/01/2003,$31.57, 5.61 
01/02/2003,$34.00, 8.10 
01/03/2003,$28.05, 5.06 
01/04/2003,$23.60, 5.39 
01/05/2003,$26.58, 6.25 
01/06/2003,$28.88,  
01/07/2003,$28.68, 4.72 
01/08/2003,$30.38, 4.73 
01/09/2003,$28.09, 4.83 
01/10/2003,$27.88, 4.89 
01/11/2003,$28.95, 4.93 
01/12/2003,$30.30, 6.19 
01/01/2004,$29.53, 5.40 
01/02/2004,$32.94,  
01/03/2004,$32.29, 5.93 
01/04/2004,$35.23, 5.86 
01/05/2004,$37.00, 6.44 
01/06/2004,$33.22, 6.16 
01/07/2004,$41.47, 6.11 
01/08/2004,$39.80,  
01/09/2004,$47.76, 6.80 
01/10/2004,$48.16, 8.73 
01/11/2004,$44.23,  
01/12/2004,$40.38, 6.15 
01/01/2005,$44.51, 6.32 
01/02/2005,$50.13, 6.73 
01/03/2005,$53.22, 7.65 
01/04/2005,$50.61, 6.59 
01/05/2005,$49.30,  
01/06/2005,$55.36, 6.98 
01/07/2005,$59.77, 7.89 
01/08/2005,$66.80, 11.47 
01/09/2005,$61.70, 13.92 
01/10/2005,$58.47, 12.21 
01/11/2005,$53.25, 12.63 
01/12/2005,$58.34, 11.23 
01/01/2006,$63.19,  
01/02/2006,$59.78, 6.71 
01/03/2006,$66.06, 7.21 
01/04/2006,$72.15,  
01/05/2006,$67.57, 6.38 
01/06/2006,$73.20, 6.09 
01/07/2006,$74.75, 8.21 
01/08/2006,$67.66, 6.05 
01/09/2006,$59.09, 5.62 
01/10/2006,$56.13,  
01/11/2006,$64.36, 8.84 
01/12/2006,$58.96, 6.30 
01/01/2007,$56.52, 7.67 
01/02/2007,$59.39, 7.30 
01/03/2007,$68.47, 7.73 
01/04/2007,$67.23,  
01/05/2007,$68.18, 7.94 
01/06/2007,$72.22, 6.77 
01/07/2007,$77.01,  
01/08/2007,$72.29, 5.47 
01/09/2007,$80.97, 6.87 
01/10/2007,$89.87, 8.33 
01/11/2007,$88.71, 7.30 
01/12/2007,$93.68, 7.48 
01/01/2008,$91.58, 8.07 
01/02/2008,$100.90, 9.37 
01/03/2008,$102.33, 10.10 
01/04/2008,$111.12, 10.84 
01/05/2008,$127.85, 11.70 
01/06/2008,$138.40,  
01/07/2008,$124.10, 9.12 
01/08/2008,$113.49, 7.94 
01/09/2008,$93.52, 7.44 
01/10/2008,$60.00, 6.78 
01/11/2008,$47.72, 6.51 
01/12/2008,$35.82, 5.62 
01/01/2009,$44.17, 4.42 
01/02/2009,$44.41,  
01/03/2009,$46.13,  
01/04/2009,$50.30, 3.37 
01/05/2009,$64.98, 3.84 
01/06/2009,$68.11, 3.84 
01/07/2009,$70.08, 3.65 
01/08/2009,$69.02, 2.98 
01/09/2009,$65.82, 4.84 
01/10/2009,$74.91, 5.05 
01/11/2009,$77.77,  
01/12/2009,$77.91, 5.57 
01/01/2010,$71.20, 5.13 
01/02/2010,$76.36, 4.81 
01/03/2010,$80.37, 3.87 
01/04/2010,$86.19, 3.92 
01/05/2010,$73.00, 4.34 
01/06/2010,$74.94, 4.62 
01/07/2010,$77.50, 4.92 
01/08/2010,$75.51,  
01/09/2010,$80.77, 3.87 
01/10/2010,$82.47, 4.04 
01/11/2010,$86.02, 4.18 
01/12/2010,$93.23, 4.41 
01/01/2011,$98.97, 4.42 
01/02/2011,$112.27, 4.04 
01/03/2011,$116.94, 4.39 
01/04/2011,$126.59, 4.70 
01/05/2011,$117.18,  
01/06/2011,$111.71, 4.37 
01/07/2011,$115.93, 4.15 
01/08/2011,$116.48, 4.05 
01/09/2011,$105.42, 3.67 
01/10/2011,$108.43, 3.93 
01/11/2011,$111.22, 3.55 
01/12/2011,$108.09, 2.99 
01/01/2012,$110.26,  
01/02/2012,$122.23, 2.62 
01/03/2012,$123.41, 2.13 
01/04/2012,$118.66, 2.13 
01/05/2012,$103.86, 2.42 
01/06/2012,$94.17, 2.82 
01/07/2012,$105.93,  
01/08/2012,$113.93, 2.80 
01/09/2012,$111.36, 3.32 
01/10/2012,$109.89, 3.69 
01/11/2012,$110.84, 3.56 
01/12/2012,$110.80, 3.35 
01/01/2013,$115.55, 3.34 
01/02/2013,$112.20, 3.49 
01/03/2013,$108.46, 4.02 
01/04/2013,$101.53, 4.34 
01/05/2013,$100.43, 3.98 
01/06/2013,$102.49, 3.57 
01/07/2013,$107.89, 3.45 
01/08/2013,$115.97, 3.58 
01/09/2013,$107.85,  
01/10/2013,$107.53, 3.58 
01/11/2013,$111.07, 3.95 
01/12/2013,$109.95,  
01/01/2014,$108.16, 4.94 
01/02/2014,$108.98, 4.61 
01/03/2014,$105.95, 4.37 
01/04/2014,$108.63, 4.82 
01/05/2014,$109.21, 4.54 
01/06/2014,$111.03,  
01/07/2014,$104.94, 3.84 
01/08/2014,$101.12, 4.07 
01/09/2014,$94.67, 4.12 
01/10/2014,$84.17, 3.87 
01/11/2014,$71.89, 4.09 
01/12/2014,$55.27, 2.89 
01/01/2015,$47.52, 2.69 
01/02/2015,$61.89, 2.69 
01/03/2015,$53.69, 2.52 
01/04/2015,$63.90, 2.75 
01/05/2015,$65.56, 2.64 
01/06/2015,$63.59, 2.83 
01/07/2015,$52.21, 2.72 
01/08/2015,$54.15, 2.69 
01/09/2015,$48.37, 2.52 
01/10/2015,$49.56, 2.32 
01/11/2015,$44.61,  
01/12/2015,$37.28, 2.34 
01/01/2016,$34.74, 2.30 
01/02/2016,$35.97, 1.71 
01/03/2016,$39.60,  
01/04/2016,$48.13, 1.96 
01/05/2016,$49.69, 2.18 
01/06/2016,$49.68, 2.92 
01/07/2016,$42.46, 2.88 
01/08/2016,$47.04, 2.89 
01/09/2016,$49.06, 2.91 
01/10/2016,$48.30, 3.03 
01/11/2016,$50.47, 3.35 
01/12/2016,$56.82, 3.72 
01/01/2017,$55.70,  
01/02/2017,$55.59, 2.77 
01/03/2017,$52.83, 3.19 
01/04/2017,$51.73, 3.28 
01/05/2017,$50.31, 3.07 
01/06/2017,$47.92, 3.04 
01/07/2017,$52.65, 2.79 
01/08/2017,$52.38, 3.04 
01/09/2017,$57.54, 3.01 
01/10/2017,$61.37,  
01/11/2017,$63.53, 3.03 
01/12/2017,$66.73, 2.95 
01/01/2018,$67.78, 3.00 
01/02/2018,$66.08, 2.67 
01/03/2018,$69.02, 2.73 
01/04/2018,$75.92,  
01/05/2018,$76.45, 2.95 
01/06/2018,$77.44, 2.92 
01/07/2018,$74.16,  
01/08/2018,$76.94, 2.92 
01/09/2018,$82.72, 3.01 
01/10/2018,$74.84, 3.26 
01/11/2018,$57.71, 4.61 
01/12/2018,$50.57, 2.94 
01/01/2019,$62.46, 2.81 
01/02/2019,$65.03, 2.81 
01/03/2019,$67.93, 2.66 
01/04/2019,$72.19, 2.58 
01/05/2019,$66.78, 2.45 
01/06/2019,$67.52, 2.31 
01/07/2019,$64.07, 2.23 
01/08/2019,$61.04,  
01/09/2019,$60.99,  
01/10/2019,$59.30, 2.29 
01/11/2019,$64.50, 2.63 
01/12/2019,$67.77, 2.28 
01/01/2020,$57.77, 1.84 
01/02/2020,$51.31, 1.68 
01/03/2020,$14.85,  
01/04/2020,$18.11, 1.95 
01/05/2020,$34.15, 1.85 
01/06/2020,$41.64, 1.75 
01/07/2020,$43.13, 1.80 
01/08/2020,$45.22, 2.63 
01/09/2020,$40.30, 2.53 
01/10/2020,$36.33, 3.35 
01/11/2020,$46.84,  
01/12/2020,$51.22, 2.54 
01/01/2021,$55.25, 2.56 
01/02/2021,$65.86, 2.77 
01/03/2021,$63.52, 2.61 
01/04/2021,$67.73, 2.93 
01/05/2021,$69.36, 2.99 
01/06/2021,$76.94, 3.65 
01/07/2021,$77.72, 3.91 
