CDID,Type,Category ID,Description,Group,Level 1,Level 2,Level 3,Baseline Year
CHZQ,HICP,0,HICP (Overall index),0. ALL ITEMS,,,,
D7BT,CPI INDEX,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
D7G7,CPI ANNUAL RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
D7OE,CPI MONTHLY RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
JF4D,CPIH HISTORICAL MODELLED INDEX,0,ALL ITEMS 1965=100,0. ALL ITEMS,,,,1965=100
JFCP,CPIH HISTORICAL MODELLED ANNUAL RATE,0,ALL ITEMS,0. ALL ITEMS,,,,
JFDB,CPIH HISTORICAL MODELLED WEIGHTS,0,ALL ITEMS,0. ALL ITEMS,,,,
JFDN,CPI HISTORICAL MODELLED INDEX,0,ALL ITEMS 1965=100,0. ALL ITEMS,,,,1965=100
JFDZ,CPI HISTORICAL MODELLED ANNUAL RATE,0,ALL ITEMS,0. ALL ITEMS,,,,
JFEU,CPI HISTORICAL MODELLED WEIGHTS,0,ALL ITEMS,0. ALL ITEMS,,,,
L522,CPIH INDEX,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
L55O,CPIH ANNUAL RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
L59C,CPIH MONTHLY RATE,0,ALL ITEMS 2015=100,0. ALL ITEMS,,,,2015=100
L5CY,CPIH WEIGHTS,0,Overall index,0. ALL ITEMS,,,,
J2I7,CPIH INDEX,01.1.1.1,CPIH INDEX  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
J32C,CPIH ANNUAL RATE,01.1.1.1,CPIH ANNUAL RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
J3K2,CPIH MONTHLY RATE,01.1.1.1,CPIH MONTHLY RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
J48X,CPIH WEIGHTS,01.1.1.1,CPIH WEIGHTS  Rice,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,
L78H,CPI INDEX,01.1.1.1,CPI INDEX  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
L7JM,CPI ANNUAL RATE,01.1.1.1,CPI ANNUAL RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
L7UB,CPI MONTHLY RATE,01.1.1.1,CPI MONTHLY RATE  Rice 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,2015=100
L83B,CPI WEIGHTS,01.1.1.1,CPI WEIGHTS  Rice,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.1. Rice,
J2I8,CPIH INDEX,01.1.1.2,CPIH INDEX  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
J32D,CPIH ANNUAL RATE,01.1.1.2,CPIH ANNUAL RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
J3K3,CPIH MONTHLY RATE,01.1.1.2,CPIH MONTHLY RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
J48Z,CPIH WEIGHTS,01.1.1.2,CPIH WEIGHTS  Flours and other cereals,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,
L78I,CPI INDEX,01.1.1.2,CPI INDEX  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
L7JN,CPI ANNUAL RATE,01.1.1.2,CPI ANNUAL RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
L7UC,CPI MONTHLY RATE,01.1.1.2,CPI MONTHLY RATE  Flours and other cereals 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,2015=100
L83C,CPI WEIGHTS,01.1.1.2,CPI WEIGHTS  Flours and other cereals,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.2. Flours and other cereals,
J2I9,CPIH INDEX,01.1.1.3,CPIH INDEX  Bread 2015=100,1. FOOD AND NON-ALCOHOLIC BEVERAGES,1.1. FOOD,1.1.1 BREAD & CEREALS,01.1.1.3. Bread,2015=100
